job_title,rating,company_name,industry,old title,salary_lower,salary_upper,salary,City,State,max_emp_size,min_emp_size,company_age,python,excel,hadoop,spark,aws,tableau,big_data,numpy,pandas,machine_learning,power_bi,sql,deep_learning
data scientist,3.6,Creative Circle,Staffing & Outsourcing,Data Scientist,212,331,377.5,United States,,500,201,19,1,0,0,0,0,0,0,0,0,0,0,1,0
machine learning engineer,5.0,Blue Horizon Tek Solutions,Staffing & Outsourcing,Data Scientist(s)/Machine Learning Engineer,212,331,377.5,New York,NY,50,1,34,1,1,0,0,0,0,0,0,0,1,0,0,0
senior data scientist,3.5,Maxar Technologies,Aerospace & Defense,Senior Data Scientist,212,331,377.5,Herndon,VA,10000,5001,1,1,1,0,0,0,0,0,0,0,1,0,1,0
data scientist,4.7,Sharpedge Solutions Inc,Publishing,Data Scientist,212,331,377.5,Seattle,WA,Unknown,Unknown,1,1,1,1,1,1,0,0,1,1,1,0,1,1
data scientist,3.5,Maxar Technologies,Aerospace & Defense,Data Scientist,212,331,377.5,Herndon,VA,10000,5001,1,1,0,1,1,0,1,0,0,0,1,0,1,1
data scientist,3.6,Alaka`ina Foundation Family of Companies,Unknown,Data Scientist,212,331,377.5,Fort Sam Houston,TX,1000,501,1,1,0,0,0,0,0,0,0,0,1,0,1,0
data engineer,3.9,Southwest Research Institute,Research & Development,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,212,331,377.5,Oklahoma City,OK,5000,1001,74,1,1,0,0,0,0,0,0,0,0,0,0,0
data scientist,2.7,Hexagon US Federal,Aerospace & Defense,Data Scientist,212,331,377.5,Lexington Park,MD,200,51,11,0,1,0,0,1,0,0,0,0,1,0,0,0
data engineer,4.8,Klaviyo,Computer Hardware & Software,Data Science Software Engineer,212,331,377.5,Boston,MA,500,201,9,1,0,0,0,0,0,0,1,1,1,0,0,0
data scientist,4.0,Comtech Global Inc,"Health, Beauty, & Fitness",Data Scientist,212,331,377.5,Washington,DC,200,51,1,1,0,1,1,1,1,0,0,0,1,1,1,0
data scientist,3.8,"Aveshka, Inc.",IT Services,Data Scientist,212,331,377.5,Washington,DC,200,51,11,1,1,0,1,0,0,0,0,0,1,0,1,0
data science manager,4.2,10x Genomics,Biotech & Pharmaceuticals,"Manager, Field Application Scientist, Southeast",212,331,377.5,Raleigh,NC,1000,501,9,0,1,0,0,0,0,0,0,0,0,0,0,0
data engineer,3.9,Southwest Research Institute,Research & Development,COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING,212,331,377.5,Dayton,OH,5000,1001,74,1,1,0,0,0,0,0,0,0,0,0,0,0
data scientist,,CompuForce,Unknown,Data Scientist,212,331,377.5,New York,NY,Unknown,Unknown,1,0,1,1,1,1,0,0,1,0,1,0,0,0
data scientist,4.5,Smith Hanley Associates,Staffing & Outsourcing,Data Scientist,212,331,377.5,Washington,DC,50,1,41,1,0,0,0,0,0,0,0,0,1,0,1,0
machine learning engineer,3.5,Allen Institute,Research & Development,Scientist - Machine Learning,212,331,377.5,Seattle,WA,500,201,18,0,0,0,0,0,0,0,0,0,1,0,0,0
